hero_id,hero,fit,k,separation,item_id,item,imbueable,gap
72,Billy,families,2,0.49256124645385485,800008313.0,Crushing Fists,False,0.49256124645385485
72,Billy,imbue,2,0.7384351798972016,754480263.0,Mystic Expansion,True,0.7384351798972016
72,Billy,conditional,2,0.9115345742258159,754480263.0,Mystic Expansion,True,0.9115345742258159
76,Graves,families,3,0.5867226787587733,630839635.0,Echo Shard,True,0.5867226787587733
76,Graves,imbue,3,0.49431230610134436,630839635.0,Echo Shard,True,0.49431230610134436
76,Graves,conditional,3,0.5072193828337912,1292979587.0,Surge of Power,True,0.5072193828337912
77,Apollo,families,1,,,,False,
77,Apollo,imbue,3,0.6649471752566244,754480263.0,Mystic Expansion,True,0.6649471752566244
77,Apollo,conditional,2,0.9071137096286706,3577481646.0,Mystic Reverb,True,0.9071137096286706
79,Rem,families,1,,,,False,
79,Rem,imbue,3,0.5613260929778503,1998374645.0,Mystic Burst,False,0.5613260929778503
79,Rem,conditional,3,0.4675305052492944,2951612397.0,Duration Extender,True,0.4675305052492944
80,Silver,families,2,0.5559867041897597,3357231760.0,Unstoppable,False,0.5559867041897597
80,Silver,imbue,2,0.6734417344173442,2951612397.0,Duration Extender,True,0.6734417344173442
80,Silver,conditional,2,0.4658316550646816,3357231760.0,Unstoppable,False,0.4658316550646816
81,Celeste,families,2,0.5903835293095459,2221211450.0,Spellslinger,False,0.5903835293095459
81,Celeste,imbue,3,0.5450400723764539,380806748.0,Compress Cooldown,True,0.5450400723764539
81,Celeste,conditional,2,0.6965204579700034,380806748.0,Compress Cooldown,True,0.6965204579700034
