hero_id,hero,gun_routed,k_families,sep_k2,sep_k2_floor,sep_k2_excess,axis_share,slot_family_tv,mean_gun_exposure,rho_spirit_exposure,rho_floor
63,Mina,True,3,0.45709481252475315,0.03426723252970709,0.42282757999504605,0.49942846239043176,0.40261247963984825,0.44734667462154953,-0.0622188186061077,0.028785539788614103
64,Drifter,True,3,0.611163192560376,0.03029004683156497,0.580873145728811,0.622959075143107,0.28676949792136575,0.16482673103910048,-0.1458805396609924,0.01591140454490318
65,Venator,False,2,0.23089526204137995,0.040669657286304395,0.19022560475507555,0.4762898357574841,0.13297634150847806,0.0,,
66,Victor,True,2,0.8993532420123795,0.040454226927532866,0.8588990150848467,0.7276901869810123,0.23423337183395057,0.3281219024476966,-0.3493042269885749,0.02515116969188945
67,Paige,True,2,0.5341320775611582,0.030281836830476028,0.5038502407306822,0.5239702016875134,0.343164054764573,0.3618460407602778,-0.38715391228056084,0.023265720216738506
69,The Doorman,False,1,0.6532993036305862,0.18196538435535126,0.47133391927523494,0.7473431489161885,0.3722784568852882,0.0,,
72,Billy,True,2,0.3516315741023239,0.028522720632836673,0.3231088534694872,0.14848938173744813,0.17458588516344078,0.5708450903233482,0.11479845593808607,0.03113767427936882
76,Graves,False,3,0.6231967591067782,0.033783457391915295,0.5894133017148628,0.6460501508838739,0.3621696600115065,0.0,,
77,Apollo,True,1,0.7523927411182642,0.06639600470910828,0.6859967364091559,0.5348969150441149,0.407229394510065,0.1507484488457742,-0.09334134533786229,0.023358716613233473
79,Rem,False,2,0.5254073169464879,0.0335273691904841,0.4918799477560038,0.5647987208127091,0.3687449466626323,0.0,,
80,Silver,True,2,0.5237449589764984,0.05677235433180361,0.4669726046446948,0.2675180330724582,0.2007328908502636,0.3300419450584673,-0.08657012676938687,0.04874197989136343
81,Celeste,True,2,0.5254303585802885,0.04532984550654934,0.4801005130737392,0.4001112138823026,0.2999131220509341,0.2363300849767691,-0.11252360155366005,0.03454918938709558
